obs,elapsed,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPDleaf,Qin,Qabs,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Tair,Tleaf,CO2_r_sp
21,1200.4,0.003607402,34.98568793,367.311,122.0317597,12.25741847,36.8943679,0.245333627,2.395034717,0.232178371,0.146234617,237.7276945,28.35653728,27.9111,3.775217083,60.2995101,1.513729367,1500.01,1264.508475,367.311,399.99,22.5148,19.3413,1000.02,27.7982,27.9111,400
22,1260.4,0.003580441,35.07373367,367.204,119.8914174,12.04241705,36.88357187,0.24374209,2.400774956,0.230781396,0.145345383,237.7261096,28.40450568,27.9551,3.784917961,60.47767567,1.511339716,1500,1264.500045,367.204,399.952,22.6352,19.4859,1000.05,27.839,27.9551,400
23,1320.4,0.0036037,35.19851975,367.18,120.8411515,12.13761359,36.88055683,0.245718356,2.396058209,0.232528311,0.146456237,237.7257912,28.44202436,28.0105,3.797163174,60.69699747,1.50949994,1500,1264.500342,367.18,400.051,22.7758,19.6062,999.956,27.8828,28.0105,400
24,1380.4,0.003557339,35.09548111,367.229,119.8966771,12.04303959,36.88637162,0.243818424,2.40451958,0.230868887,0.145399179,237.726,28.46897675,28.017,3.79860215,60.91679086,1.500738565,1500,1264.5,367.229,399.99,22.8768,19.7485,1000.02,27.8971,28.017,400
25,1440.4,0.003556054,35.04843118,367.259,120.7862395,12.13243192,36.88950691,0.2443961,2.401936996,0.231373699,0.145720722,237.7261096,28.48243666,28.0193,3.79911144,60.98780225,1.496890971,1500,1264.500045,367.259,399.977,22.9201,19.7931,1000.03,27.9096,28.0193,400
26,1500.4,0.003586967,35.04179993,367.283,122.539861,12.30834307,36.8912216,0.246237385,2.401723044,0.233022609,0.146767298,237.7254415,28.4782227,28.0228,3.799886561,60.92807549,1.49919609,1500,1264.499343,367.283,400.005,22.9053,19.7511,1000.04,27.915,28.0228,400
27,1560.4,0.003551615,35.08381468,367.249,119.8208732,12.03559896,36.8889123,0.243628788,2.403954323,0.230695947,0.145289695,237.7257808,28.48817627,28.0111,3.797295983,60.85409149,1.49947963,1500,1264.49991,367.249,399.998,22.876,19.7527,1000.01,27.9144,28.0111,400
28,1620.4,0.003554016,35.11529035,367.211,119.3738988,11.99055245,36.88463558,0.243424577,2.404809797,0.230517122,0.145175825,237.7262192,28.4931404,28.0223,3.799775821,60.84223236,1.501616461,1500,1264.50009,367.211,399.989,22.8797,19.7543,1000.01,27.9203,28.0223,400
29,1680.4,0.003559311,35.12887647,367.213,119.9250629,12.04590532,36.88480893,0.244098261,2.405939859,0.231127055,0.145562355,237.7260052,28.48474442,28.0093,3.796897569,60.83413563,1.499915135,1500,1264.500216,367.213,400.004,22.868,19.738,1000.04,27.9138,28.0093,400
30,1740.4,0.003571012,35.16811424,367.161,119.5025615,12.00345726,36.87955567,0.244031416,2.40117251,0.231042843,0.145511113,237.7261096,28.49152544,28.0304,3.801570155,60.78026604,1.505363024,1500,1264.500045,367.161,399.994,22.8603,19.7197,999.949,27.9232,28.0304,800
